 Id,X,Y,Slice
245,1119.857,47.286,1
246,1099.286,70.429,1
247,1116,115.429,1
248,1081.286,130.857,1
249,1000.286,133.429,1
250,1089,177.143,1
251,1107,187.429,1
252,1221.429,173.286,1
253,1251,133.429,1
254,1269,222.143,1
255,1060.714,233.714,1
256,1050.429,215.714,1
257,1044,223.429,1
258,1035,244,1
259,1018.286,262,1
260,946.286,375.143,1
261,977.143,394.429,1
262,1015.714,399.571,1
263,1087.714,330.143,1
264,1132.714,282.571,1
265,1194.429,244,1
266,1172.572,210.571,1
267,1288.286,292.857,1
268,1280.572,346.857,1
269,1230.429,290.286,1
270,1267.714,381.571,1
271,1278,375.143,1
272,1212.429,375.143,1
273,1221.429,412.429,1
274,1161,385.429,1
275,1150.714,427.857,1
276,1182.857,435.571,1
277,1116,433,1
278,1172.572,470.286,1
279,1238.143,508.857,1
280,1248.429,471.571,1
281,1053,474.143,1
282,1159.714,524.286,1
283,1009.286,494.714,1
284,1014.429,523,1
285,968.143,485.714,1
286,978.429,484.429,1
287,905.143,544.857,1
288,966.857,591.143,1
289,960.429,610.429,1
290,919.286,650.286,1
291,945,676,1
292,897.429,641.286,1
293,887.143,627.143,1
294,838.286,611.714,1
295,792,582.143,1
296,770.143,595,1
297,842.143,679.857,1
298,933.429,687.571,1
299,1033.714,601.429,1
300,1064.572,604,1
301,1071,575.714,1
302,1100.572,618.143,1
303,1103.143,606.571,1
304,1182.857,586,1
305,1140.429,547.429,1
306,1080,687.571,1
307,1119.857,706.857,1
308,1141.714,654.143,1
309,1173.857,650.286,1
310,1181.572,690.143,1
311,1243.286,658,1
312,1227.857,714.571,1
313,32.143,2.286,2
314,140.143,46,2
315,145.286,89.714,2
316,182.571,105.143,2
317,252,100,2
318,252,80.714,2
319,79.714,58.857,2
320,64.286,43.429,2
321,59.143,202.857,2
322,42.429,222.143,2
323,14.143,228.571,2
324,3.857,238.857,2
325,24.429,282.571,2
326,11.571,301.857,2
327,77.143,277.429,2
328,118.286,247.857,2
329,75.857,323.714,2
330,68.143,299.286,2
331,65.571,337.857,2
332,21.857,353.286,2
333,37.286,382.857,2
334,52.714,358.429,2
335,92.571,366.143,2
336,111.857,355.857,2
337,142.714,363.571,2
338,164.571,314.714,2
339,132.429,402.143,2
340,127.286,385.429,2
341,111.857,436.857,2
342,115.714,453.571,2
343,87.429,445.857,2
344,38.571,448.429,2
345,88.714,487,2
346,0,489.571,2
347,115.714,490.857,2
348,141.429,469,2
349,155.571,439.429,2
350,171,402.143,2
351,65.571,542.286,2
352,79.714,593.714,2
353,87.429,579.571,2
354,96.429,591.143,2
355,75.857,615.571,2
356,87.429,627.143,2
357,68.143,705.571,2
358,168.429,647.714,2
359,151.714,723.571,2
360,190.286,588.571,2
361,228.857,641.286,2
362,244.286,681.143,2
363,279,654.143,2
364,280.286,628.429,2
365,288,622,2
366,317.571,705.571,2
367,313.714,627.143,2
368,361.286,596.286,2
369,383.143,622,2
370,383.143,651.571,2
371,393.429,686.286,2
372,416.571,688.857,2
373,374.143,701.714,2
374,285.429,562.857,2
375,258.429,463.857,2
376,221.143,474.143,2
377,204.429,469,2
378,267.429,373.857,2
379,253.286,307,2
380,253.286,245.286,2
381,203.143,154,2
382,217.286,233.714,2
383,293.143,209.286,2
384,298.286,199,2
385,308.571,209.286,2
386,304.714,222.143,2
387,334.286,206.714,2
388,336.857,166.857,2
389,309.857,272.286,2
390,322.714,289,2
391,367.714,249.143,2
392,367.714,229.857,2
393,329.143,538.429,2
394,389.571,543.571,2
395,366.429,511.429,2
396,334.286,478,2
397,352.286,456.143,2
398,356.143,435.571,2
399,347.143,366.143,2
400,306,349.429,2
401,356.143,80.714,2
402,365.143,58.857,2
403,387,52.429,2
404,307.286,12.571,2
405,403.714,109,2
406,421.714,109,2
407,430.714,119.286,2
408,426.857,206.714,2
409,470.571,177.143,2
410,446.143,244,2
411,435.857,260.714,2
412,397.286,368.714,2
413,394.714,389.286,2
414,457.714,412.429,2
415,424.286,303.143,2
416,452.571,313.429,2
417,482.143,287.714,2
418,479.571,313.429,2
419,473.143,330.143,2
420,479.571,376.429,2
421,486,445.857,2
422,465.429,461.286,2
423,437.143,467.714,2
424,429.429,472.857,2
425,405,478,2
426,448.714,503.714,2
427,470.571,506.286,2
428,523.286,534.571,2
429,531,552.571,2
430,540,561.571,2
431,480.857,655.429,2
432,528.429,663.143,2
433,541.286,643.857,2
434,541.286,602.714,2
435,573.429,623.286,2
436,583.714,651.571,2
437,550.286,699.143,2
438,597.857,681.143,2
439,613.286,631,2
440,628.714,622,2
441,630,645.143,2
442,630,660.571,2
443,648,686.286,2
444,662.143,692.714,2
445,673.714,717.143,2
446,717.429,703,2
447,689.143,623.286,2
448,659.571,560.286,2
449,645.429,571.857,2
450,628.714,574.429,2
451,633.857,494.714,2
452,624.857,435.571,2
453,578.571,430.429,2
454,546.429,389.286,2
455,529.714,398.286,2
456,522,398.286,2
457,520.714,406,2
458,537.429,304.429,2
459,534.857,296.714,2
460,561.857,316,2
461,552.857,323.714,2
462,507.857,217,2
463,506.571,199,2
464,543.857,195.143,2
465,532.286,174.571,2
466,456.429,82,2
467,443.571,16.429,2
468,492.429,70.429,2
469,525.857,37,2
470,528.429,10,2
471,595.286,6.143,2
472,592.714,29.286,2
473,555.429,10,2
474,527.143,118,2
475,588.857,61.429,2
476,599.143,116.714,2
477,615.857,123.143,2
478,650.571,58.857,2
479,657,38.286,2
480,713.571,40.857,2
481,689.143,31.857,2
482,709.714,93.571,2
483,740.571,102.571,2
484,785.571,132.143,2
485,753.429,132.143,2
486,671.143,136,2
487,642.857,146.286,2
488,636.429,173.286,2
489,689.143,163,2
490,690.429,173.286,2
491,696.857,188.714,2
492,619.714,242.714,2
493,610.714,312.143,2
494,654.429,346.857,2
495,640.286,359.714,2
496,677.571,372.571,2
497,666,334,2
498,695.571,296.714,2
499,735.429,254.286,2
500,775.286,282.571,2
501,765,301.857,2
502,808.714,254.286,2
503,775.286,178.429,2
504,744.429,395.714,2
505,734.143,430.429,2
506,698.143,460,2
507,712.286,538.429,2
508,767.571,593.714,2
509,793.286,586,2
510,830.571,519.143,2
511,839.571,458.714,2
512,817.714,417.571,2
513,772.714,424,2
514,853.714,390.571,2
515,844.714,313.429,2
516,864,280,2
517,864,101.286,2
518,860.143,128.286,2
519,891,164.286,2
520,924.429,148.857,2
521,883.286,28,2
522,925.714,200.286,2
523,930.857,240.143,2
524,925.714,278.714,2
525,915.429,282.571,2
526,916.714,307,2
527,891,254.286,2
528,951.429,372.571,2
529,977.143,393.143,2
530,942.429,467.714,2
531,965.571,487,2
532,977.143,484.429,2
533,1001.571,497.286,2
534,1019.571,529.429,2
535,897.429,546.143,2
536,969.429,586,2
537,1008,566.714,2
538,972,598.857,2
539,970.714,606.571,2
540,843.429,618.143,2
541,882,627.143,2
542,896.143,641.286,2
543,837,674.714,2
544,921.857,650.286,2
545,947.571,669.571,2
546,987.429,664.429,2
547,1038.857,600.143,2
548,1060.714,600.143,2
549,1067.143,580.857,2
550,1099.286,609.143,2
551,1056.857,470.286,2
552,1022.143,262,2
553,968.143,209.286,2
554,987.429,202.857,2
555,1038.857,246.571,2
556,1041.429,224.714,2
557,1047.857,222.143,2
558,1065.857,231.143,2
559,1000.286,136,2
560,974.571,66.571,2
561,974.571,84.571,2
562,986.143,49.857,2
563,987.429,15.143,2
564,1053,52.429,2
565,1103.143,69.143,2
566,1114.714,38.286,2
567,1172.571,89.714,2
568,1208.571,85.857,2
569,1188,116.714,2
570,1114.714,112.857,2
571,1078.714,127,2
572,1089,175.857,2
573,1109.571,193.857,2
574,1170,217,2
575,1189.286,238.857,2
576,1230.429,161.714,2
577,1247.143,128.286,2
578,1266.429,35.714,2
579,1281.857,200.286,2
580,1265.143,219.571,2
581,1226.571,285.143,2
582,294.429,426.571,2
583,259.714,175.857,2
584,95.143,110.286,2
585,113.143,217,2
586,201.857,418.857,2
587,1109.571,307,2
588,1135.286,286.429,2
589,1082.571,328.857,2
590,1158.429,384.143,2
591,1212.429,367.429,2
592,1265.143,380.286,2
593,1275.429,377.714,2
594,1278,352,2
595,1224,411.143,2
596,1191.857,434.286,2
597,1161,425.286,2
598,1119.857,430.429,2
599,1172.571,474.143,2
600,1233,510.143,2
601,1292.143,535.857,2
602,1293.429,564.143,2
603,1287,719.714,2
604,1242,663.143,2
605,1227.857,712,2
606,1176.429,679.857,2
607,1166.143,649,2
608,1179,588.571,2
609,1153.286,520.429,2
610,1145.571,539.714,2
611,1140.429,651.571,2
612,1083.857,688.857,2
613,1118.571,709.429,2
614,1244.571,469,2
615,1270.286,442,2
616,1019.571,399.571,2
617,900,231.143,2
618,808.714,112.857,2
619,545.929,585.786,2
620,540.786,503.5,2
621,422.5,678.357,2
622,1287.786,713.071,3
623,1241.5,668.071,3
624,1249.214,646.214,3
625,1231.214,517.643,3
626,1173.357,679.643,3
627,1177.214,581.929,3
628,1182.357,643.643,3
629,1227.357,713.071,3
630,1244.071,471.357,3
631,1268.5,434.071,3
632,1124.5,714.357,3
633,1151.5,692.5,3
634,1143.786,644.929,3
635,1082.071,686.071,3
636,1085.929,608.929,3
637,1101.357,608.929,3
638,1061.5,606.357,3
639,1038.357,607.643,3
640,1058.929,589.643,3
641,1013.929,533.071,3
642,1003.643,566.5,3
643,971.5,590.929,3
644,971.5,606.357,3
645,988.214,670.643,3
646,953.5,668.071,3
647,929.071,692.5,3
648,896.929,646.214,3
649,882.786,626.929,3
650,840.357,621.786,3
651,832.643,670.643,3
652,781.214,584.5,3
653,774.786,597.357,3
654,828.786,520.214,3
655,903.357,548.5,3
656,945.786,468.786,3
657,1008.786,497.071,3
658,967.643,495.786,3
659,974.071,484.214,3
660,1062.786,466.214,3
661,976.643,396.786,3
662,948.357,372.357,3
663,1118.071,426.357,3
664,1165.643,419.929,3
665,1157.929,381.357,3
666,1192.643,436.643,3
667,1226.071,405.786,3
668,1258.214,377.5,3
669,1272.357,374.929,3
670,1278.786,351.786,3
671,1177.214,472.643,3
672,1155.357,521.5,3
673,1147.643,543.357,3
674,1130.929,509.929,3
675,1219.643,291.357,3
676,1111.643,318.357,3
677,1082.071,329.929,3
678,1132.214,282.357,3
679,1188.786,243.786,3
680,1166.929,224.5,3
681,1267.214,214.214,3
682,1282.643,292.643,3
683,1280.071,197.5,3
684,1247.929,129.357,3
685,1174.643,88.214,3
686,1208.071,81.786,3
687,1193.929,115.214,3
688,1217.071,169.214,3
689,1204.214,126.786,3
690,1256.929,43.214,3
691,1118.071,4.643,3
692,1116.786,34.214,3
693,1114.214,104.929,3
694,1093.643,178.214,3
695,1082.071,135.786,3
696,1111.643,198.786,3
697,1069.214,233.5,3
698,1048.643,219.357,3
699,1046.071,224.5,3
700,1039.643,246.357,3
701,1021.643,259.214,3
702,983.071,202.643,3
703,970.214,210.357,3
704,925.214,205.214,3
705,926.5,238.643,3
706,935.5,283.643,3
707,922.643,278.5,3
708,998.5,135.786,3
709,974.071,81.786,3
710,971.5,71.5,3
711,990.786,52.214,3
712,1053.786,52.214,3
713,985.643,9.786,3
714,898.214,23.929,3
715,935.5,169.214,3
716,917.5,146.071,3
717,887.929,169.214,3
718,895.643,237.357,3
719,884.071,254.071,3
720,866.071,282.357,3
721,845.5,310.643,3
722,913.643,318.357,3
723,853.214,396.786,3
724,839.071,450.786,3
725,815.929,417.357,3
726,742.643,394.214,3
727,763.214,300.357,3
728,776.071,287.5,3
729,805.643,256.643,3
730,854.5,128.071,3
731,863.5,107.5,3
732,777.357,62.5,3
733,806.929,120.357,3
734,781.214,129.357,3
735,773.5,179.5,3
736,732.357,242.5,3
737,705.357,232.214,3
738,697.643,194.929,3
739,684.786,176.929,3
740,688.643,164.071,3
741,742.643,101.071,3
742,705.357,104.929,3
743,716.929,39.357,3
744,653.929,39.357,3
745,653.929,65.071,3
746,592.214,8.5,3
747,592.214,31.643,3
748,587.071,68.929,3
749,661.643,139.643,3
750,642.357,147.357,3
751,619.214,120.357,3
752,596.071,124.214,3
753,643.643,173.071,3
754,617.929,239.929,3
755,608.929,317.071,3
756,664.214,324.786,3
757,687.357,293.929,3
758,650.071,335.071,3
759,674.5,373.643,3
760,646.214,356.929,3
761,770.929,430.214,3
762,741.357,427.643,3
763,693.786,462.357,3
764,1015.214,398.071,3
765,713.071,539.5,3
766,688.643,625.643,3
767,749.071,698.929,3
768,707.929,704.071,3
769,666.786,715.643,3
770,665.5,695.071,3
771,644.929,683.5,3
772,633.357,652.643,3
773,630.786,646.214,3
774,628.214,616.643,3
775,630.786,574.214,3
776,644.929,565.214,3
777,659.071,562.643,3
778,638.5,490.643,3
779,608.929,637.214,3
780,580.643,648.786,3
781,594.786,678.357,3
782,579.357,623.071,3
783,561.357,652.643,3
784,539.5,653.929,3
785,542.071,702.786,3
786,482.929,664.214,3
787,521.5,657.786,3
788,521.5,642.357,3
789,538.214,557.5,3
790,524.071,547.214,3
791,512.5,535.643,3
792,538.214,583.214,3
793,620.5,437.929,3
794,566.5,436.643,3
795,538.214,504.786,3
796,476.5,516.357,3
797,458.5,506.071,3
798,461.071,461.071,3
799,481.643,448.214,3
800,430.214,467.5,3
801,516.357,418.643,3
802,524.071,398.071,3
803,531.786,398.071,3
804,548.5,398.071,3
805,562.643,317.071,3
806,534.357,306.786,3
807,480.357,284.929,3
808,543.357,194.929,3
809,525.357,176.929,3
810,515.071,216.786,3
811,472.643,179.5,3
812,448.214,138.357,3
813,506.071,201.357,3
814,427.643,113.929,3
815,408.357,111.357,3
816,450.786,86.929,3
817,526.643,120.357,3
818,493.214,74.071,3
819,524.071,41.929,3
820,524.071,8.5,3
821,548.5,12.357,3
822,449.5,18.786,3
823,439.214,9.786,3
824,390.357,50.929,3
825,363.357,67.643,3
826,356.929,84.357,3
827,427.643,203.929,3
828,437.929,243.786,3
829,435.357,261.786,3
830,452.071,309.357,3
831,476.5,319.643,3
832,416.071,302.929,3
833,476.5,383.929,3
834,477.786,371.071,3
835,458.5,412.214,3
836,412.214,382.643,3
837,392.929,364.643,3
838,392.929,383.929,3
839,346.643,365.929,3
840,350.5,452.071,3
841,444.357,499.643,3
842,386.5,540.786,3
843,356.929,508.643,3
844,326.071,547.214,3
845,332.5,480.357,3
846,359.5,596.071,3
847,386.5,619.214,3
848,390.357,655.214,3
849,391.643,680.929,3
850,419.929,677.071,3
851,414.786,695.071,3
852,364.643,705.357,3
853,309.357,701.5,3
854,237.357,713.071,3
855,233.5,686.071,3
856,225.786,637.214,3
857,279.786,650.071,3
858,286.214,633.357,3
859,292.643,621.786,3
860,311.929,626.929,3
861,288.786,558.786,3
862,254.071,468.786,3
863,268.214,374.929,3
864,288.786,427.643,3
865,313.214,347.929,3
866,333.786,288.786,3
867,306.786,266.929,3
868,237.357,302.929,3
869,250.214,256.643,3
870,219.357,234.786,3
871,211.643,203.929,3
872,194.929,155.071,3
873,238.643,98.5,3
874,248.929,74.071,3
875,287.5,194.929,3
876,288.786,206.5,3
877,302.929,205.214,3
878,301.643,230.929,3
879,324.786,170.5,3
880,364.643,247.643,3
881,378.786,255.357,3
882,383.929,188.5,3
883,182.071,104.929,3
884,139.643,50.929,3
885,77.929,65.071,3
886,61.214,48.357,3
887,18.786,3.357,3
888,47.071,200.071,3
889,47.071,221.929,3
890,83.071,284.929,3
891,115.214,248.929,3
892,74.071,317.071,3
893,56.071,341.5,3
894,12.357,299.071,3
895,18.786,286.214,3
896,8.5,233.5,3
897,14.929,256.643,3
898,0.786,104.929,3
899,84.357,108.786,3
900,161.5,310.643,3
901,135.786,360.786,3
902,103.643,356.929,3
903,85.643,365.929,3
904,35.5,381.357,3
905,21.357,354.357,3
906,125.5,403.214,3
907,124.214,387.786,3
908,166.643,398.071,3
909,202.643,419.929,3
910,201.357,472.643,3
911,161.5,439.214,3
912,144.786,464.929,3
913,119.071,489.357,3
914,120.357,450.786,3
915,40.643,449.5,3
916,86.929,444.357,3
917,108.786,434.071,3
918,70.214,486.786,3
919,58.643,536.929,3
920,80.5,597.357,3
921,0.786,488.071,3
922,89.5,576.786,3
923,98.5,593.5,3
924,86.929,589.643,3
925,88.214,628.214,3
926,80.5,616.643,3
927,70.214,702.786,3
928,180.786,659.071,3
929,161.5,651.357,3
930,162.786,720.786,3
931,191.071,585.786,3
932,183.357,570.357,3
933,25.214,3.357,4
934,63.786,44.5,4
935,92.071,63.786,4
936,0.786,101.071,4
937,88.214,103.643,4
938,144.786,72.786,4
939,133.214,41.929,4
940,189.786,0.786,4
941,178.214,95.929,4
942,241.214,72.786,4
943,236.071,97.214,4
944,200.071,152.5,4
945,207.786,166.643,4
946,66.357,193.643,4
947,40.643,221.929,4
948,8.5,223.214,4
949,112.643,211.643,4
950,116.5,250.214,4
951,5.929,234.786,4
952,129.357,260.5,4
953,86.929,278.5,4
954,75.357,284.929,4
955,67.643,302.929,4
956,71.5,318.357,4
957,70.214,341.5,4
958,34.214,281.071,4
959,11.071,302.929,4
960,66.357,333.786,4
961,23.929,347.929,4
962,59.929,356.929,4
963,39.357,377.5,4
964,89.5,363.357,4
965,106.214,359.5,4
966,139.643,351.786,4
967,120.357,389.071,4
968,131.929,403.214,4
969,36.786,444.357,4
970,0.786,488.071,4
971,86.929,441.786,4
972,107.5,437.929,4
973,119.071,446.929,4
974,158.929,439.214,4
975,173.071,401.929,4
976,143.5,471.357,4
977,200.071,466.214,4
978,111.357,490.643,4
979,56.071,538.214,4
980,74.071,592.214,4
981,86.929,579.357,4
982,94.643,594.786,4
983,85.643,594.786,4
984,76.643,619.214,4
985,83.071,629.5,4
986,71.5,698.929,4
987,166.643,651.357,4
988,176.929,659.071,4
989,194.929,585.786,4
990,233.5,635.929,4
991,233.5,691.214,4
992,241.214,713.071,4
993,279.786,651.357,4
994,290.071,635.929,4
995,290.071,621.786,4
996,311.929,625.643,4
997,313.214,700.214,4
998,365.929,704.071,4
999,396.786,689.929,4
1000,421.214,678.357,4
1001,416.071,697.643,4
1002,390.357,652.643,4
1003,383.929,617.929,4
1004,354.357,598.643,4
1005,327.357,543.357,4
1006,282.357,562.643,4
1007,282.357,530.5,4
1008,183.357,567.786,4
1009,259.214,472.643,4
1010,203.929,419.929,4
1011,167.929,314.5,4
1012,214.214,221.929,4
1013,264.357,175.643,4
1014,295.214,198.786,4
1015,305.5,211.643,4
1016,305.5,225.786,4
1017,246.357,248.929,4
1018,250.214,305.5,4
1019,264.357,377.5,4
1020,318.357,269.5,4
1021,331.214,281.071,4
1022,347.929,372.357,4
1023,306.786,347.929,4
1024,354.357,445.643,4
1025,336.357,473.929,4
1026,320.929,476.5,4
1027,367.214,515.071,4
1028,407.071,477.786,4
1029,439.214,466.214,4
1030,459.786,454.643,4
1031,457.214,404.5,4
1032,394.214,365.929,4
1033,394.214,380.071,4
1034,405.786,377.5,4
1035,443.071,498.357,4
1036,449.5,506.071,4
1037,476.5,516.357,4
1038,512.5,536.929,4
1039,538.214,512.5,4
1040,544.643,557.5,4
1041,536.929,588.357,4
1042,536.929,612.786,4
1043,524.071,643.643,4
1044,521.5,657.786,4
1045,495.786,664.214,4
1046,521.5,666.786,4
1047,544.643,643.643,4
1048,562.643,655.214,4
1049,580.643,623.071,4
1050,579.357,648.786,4
