track_id,frame,x_pixel,y_pixel,x_um,y_um,time_sec
1,1,18.3168316831683,228.663366336634,7.69306930693069,96.0386138613861,0
2,1,75.2519083969466,49.5954198473282,31.6058015267176,20.8300763358779,0
3,1,72.7416666666667,706.058333333333,30.5515,296.5445,0
4,1,212.223684210526,170.25,89.1339473684211,71.505,0
5,1,297.546296296296,198.564814814815,124.969444444444,83.3972222222222,0
6,1,309.697841726619,9.96402877697842,130.07309352518,4.18489208633093,0
7,1,450.678571428571,132.25,189.285,55.545,0
8,1,459.798816568047,85.9881656804734,193.11550295858,36.1150295857988,0
9,1,480.266666666667,319.837037037037,201.712,134.331555555556,0
10,1,524.370967741935,727.064516129032,220.235806451613,305.367096774194,0
11,1,633.25730994152,624.570175438596,265.968070175439,262.31947368421,0
12,1,763.64,231.38,320.7288,97.1796,0
13,1,993.693430656934,203.92700729927,417.351240875912,85.6493430656934,0
14,1,1293.82,214.5,543.4044,90.09,0
15,1,4.46078431372549,714.637254901961,1.87352941176471,300.147647058824,0
15,2,4.625,716.590909090909,1.9425,300.968181818182,0.025
16,1,95.945652173913,297.923913043478,40.2971739130435,125.128043478261,0
16,2,90.5853658536585,291.829268292683,38.0458536585366,122.568292682927,0.025
17,1,293.390625,619.1796875,123.2240625,260.05546875,0
17,2,291.119047619048,620.730158730159,122.27,260.706666666667,0.025
18,1,308.020833333333,223.041666666667,129.36875,93.6775,0
18,2,309.852173913043,223.895652173913,130.137913043478,94.0361739130435,0.025
19,1,315.65,206.67,132.573,86.8014,0
19,2,314.752293577982,208.770642201835,132.195963302752,87.6836697247706,0.025
20,1,348.925,461.0125,146.5485,193.62525,0
20,2,349.994382022472,458.994382022472,146.997640449438,192.777640449438,0.025
21,1,405.934210526316,390.855263157895,170.492368421053,164.159210526316,0
21,2,396.670454545455,391.090909090909,166.601590909091,164.258181818182,0.025
22,1,450.628205128205,247.737179487179,189.263846153846,104.049615384615,0
22,2,446.961038961039,244.694805194805,187.723636363636,102.771818181818,0.025
23,1,668.759398496241,328.187969924812,280.878947368421,137.838947368421,0
23,2,666.100591715976,327.514792899408,279.76224852071,137.556213017751,0.025
24,1,976.226890756303,85.2857142857143,410.015294117647,35.82,0
24,2,975.686131386861,84.014598540146,409.788175182482,35.2861313868613,0.025
25,2,310.549019607843,391.058823529412,130.430588235294,164.244705882353,0.025
26,2,514.457627118644,68.5254237288136,216.07220338983,28.7806779661017,0.025
27,2,970.040540540541,587.75,407.417027027027,246.855,0.025
28,2,1292.58762886598,539.216494845361,542.886804123711,226.470927835052,0.025
29,1,116.587719298246,354.140350877193,48.9668421052632,148.738947368421,0
29,2,113.391304347826,356.391304347826,47.624347826087,149.684347826087,0.025
29,3,109.983193277311,356.100840336134,46.1929411764706,149.562352941176,0.05
30,1,280.83908045977,636.034482758621,117.952413793103,267.134482758621,0
30,2,282.857142857143,634.295918367347,118.8,266.404285714286,0.025
30,3,290.88038277512,628.665071770335,122.16976076555,264.039330143541,0.05
31,1,415.152173913043,375.717391304348,174.363913043478,157.801304347826,0
31,2,414.379746835443,381.670886075949,174.039493670886,160.301772151899,0.025
31,3,412.634408602151,384.720430107527,173.306451612903,161.582580645161,0.05
32,1,473.921487603306,505.421487603306,199.047024793388,212.277024793388,0
32,2,470.668161434978,510.085201793722,197.680627802691,214.235784753363,0.025
32,3,473.388185654008,515.037974683544,198.823037974684,216.315949367089,0.05
33,1,624.205882352941,648.317647058824,262.166470588235,272.293411764706,0
33,2,628.450980392157,653.779411764706,263.949411764706,274.587352941176,0.025
33,3,632.032558139535,652.158139534884,265.453674418605,273.906418604651,0.05
34,1,672.462962962963,142.703703703704,282.434444444444,59.9355555555556,0
34,2,671.196172248804,139.320574162679,281.902392344498,58.5146411483254,0.025
34,3,663.759689922481,139.790697674419,278.779069767442,58.7120930232558,0.05
35,1,796.008928571429,587.178571428571,334.32375,246.615,0
35,2,792.602409638554,585.21686746988,332.893012048193,245.791084337349,0.025
35,3,785.939130434783,584.35652173913,330.094434782609,245.429739130435,0.05
36,1,960.22,335.38,403.2924,140.8596,0
36,2,960.547169811321,335.018867924528,403.429811320755,140.707924528302,0.025
36,3,961.636363636364,334.945454545455,403.887272727273,140.677090909091,0.05
37,1,976.253012048193,624.180722891566,410.026265060241,262.155903614458,0
37,2,978.628205128205,624.538461538462,411.023846153846,262.306153846154,0.025
37,3,980.870967741935,626.016129032258,411.965806451613,262.926774193548,0.05
38,1,1065.60396039604,601.950495049505,447.553663366337,252.819207920792,0
38,2,1062.64220183486,603.825688073395,446.309724770642,253.606788990826,0.025
38,3,1059.91304347826,609.789855072464,445.16347826087,256.111739130435,0.05
39,1,1168.75438596491,212.114035087719,490.876842105263,89.0878947368421,0
39,2,1168.61682242991,219.467289719626,490.819065420561,92.176261682243,0.025
39,3,1167.8431372549,222.460784313725,490.494117647059,93.4335294117647,0.05
40,1,1219.87974683544,87.7278481012658,512.349493670886,36.8456962025316,0
40,2,1213.55063291139,88.8417721518987,509.691265822785,37.3135443037975,0.025
40,3,1210.05263157895,86.6644736842105,508.222105263158,36.3990789473684,0.05
41,1,1225.22377622378,172.762237762238,514.593986013986,72.5601398601399,0
41,2,1227.52380952381,171.495238095238,515.56,72.028,0.025
41,3,1218.42857142857,171.97619047619,511.74,72.23,0.05
42,2,114.165289256198,453.165289256198,47.9494214876033,190.329421487603,0.025
42,3,119.891666666667,454.525,50.3545,190.9005,0.05
43,2,675.984848484848,52.1818181818182,283.913636363636,21.9163636363636,0.025
